positive,neutral,negative
0.849,0.148,0.003
0.79,0.206,0.004
0.953,0.044,0.002
0.833,0.164,0.004
0.91,0.087,0.003
0.967,0.031,0.002
0.831,0.165,0.005
0.964,0.033,0.003
0.983,0.015,0.002
0.768,0.227,0.006
0.979,0.018,0.003
0.705,0.292,0.003
0.816,0.181,0.003
0.913,0.084,0.003
0.514,0.482,0.004
0.87,0.128,0.002
0.947,0.051,0.002
0.952,0.046,0.002
0.968,0.03,0.002
0.933,0.064,0.002
0.914,0.083,0.003
0.875,0.122,0.003
0.914,0.084,0.003
0.947,0.05,0.003
0.885,0.111,0.004
0.976,0.021,0.002
0.973,0.026,0.002
0.925,0.071,0.004
0.918,0.08,0.003
0.284,0.704,0.012
0.13,0.77,0.1
0.04,0.746,0.214
0.788,0.205,0.007
0.958,0.04,0.002
0.929,0.068,0.003
0.931,0.061,0.007
0.832,0.165,0.003
0.927,0.069,0.004
0.928,0.069,0.003
0.71,0.287,0.003
0.931,0.065,0.004
0.958,0.039,0.003
0.928,0.07,0.002
0.96,0.038,0.002
0.947,0.051,0.002
0.766,0.23,0.004
0.946,0.052,0.002
0.734,0.261,0.005
0.817,0.179,0.004
0.812,0.184,0.004
0.905,0.09,0.005
0.918,0.077,0.005
0.831,0.166,0.004
0.803,0.192,0.005
0.757,0.237,0.006
0.913,0.085,0.002
0.254,0.738,0.007
0.153,0.84,0.007
0.892,0.104,0.005
0.914,0.083,0.003
0.974,0.024,0.002
0.685,0.31,0.005
0.98,0.018,0.002
0.922,0.074,0.004
0.948,0.05,0.002
0.948,0.049,0.003
0.854,0.144,0.002
0.852,0.145,0.003
0.932,0.067,0.002
0.959,0.039,0.003
0.088,0.741,0.171
0.974,0.023,0.003
0.75,0.247,0.003
0.308,0.687,0.005
0.886,0.111,0.003
0.947,0.05,0.003
0.582,0.411,0.007
0.903,0.093,0.004
0.264,0.731,0.005
0.804,0.192,0.004
0.453,0.542,0.005
0.392,0.603,0.004
0.977,0.021,0.002
0.917,0.079,0.003
0.903,0.087,0.01
0.157,0.797,0.047
0.96,0.038,0.002
0.936,0.061,0.003
0.852,0.144,0.004
0.656,0.339,0.005
0.632,0.364,0.004
0.843,0.154,0.004
0.927,0.07,0.002
0.973,0.025,0.002
0.538,0.459,0.004
0.964,0.034,0.002
0.852,0.144,0.003
0.8,0.198,0.002
0.964,0.033,0.003
0.595,0.401,0.004
0.954,0.044,0.002
0.862,0.133,0.005
0.923,0.074,0.003
0.955,0.042,0.002
0.971,0.028,0.001
0.621,0.374,0.004
0.631,0.364,0.006
0.739,0.258,0.004
0.734,0.263,0.003
0.928,0.069,0.003
0.948,0.05,0.002
0.167,0.777,0.055
0.896,0.1,0.003
0.798,0.197,0.005
0.747,0.248,0.005
0.924,0.074,0.002
0.855,0.141,0.004
0.951,0.047,0.002
0.747,0.249,0.005
0.813,0.183,0.004
0.733,0.263,0.005
0.972,0.027,0.002
0.913,0.083,0.004
0.937,0.061,0.002
0.641,0.348,0.011
0.695,0.3,0.005
0.924,0.073,0.003
0.975,0.023,0.002
0.918,0.08,0.002
0.067,0.905,0.028
0.38,0.595,0.025
0.975,0.022,0.003
0.972,0.026,0.002
0.713,0.282,0.005
0.929,0.069,0.002
0.928,0.069,0.003
0.782,0.214,0.004
0.874,0.124,0.002
0.807,0.189,0.004
0.931,0.065,0.004
0.963,0.035,0.002
0.79,0.206,0.005
0.891,0.106,0.004
0.955,0.043,0.002
0.955,0.043,0.002
0.947,0.052,0.002
0.806,0.191,0.003
0.96,0.036,0.004
0.511,0.482,0.007
0.966,0.03,0.004
0.95,0.047,0.003
0.968,0.03,0.002
0.746,0.25,0.005
0.825,0.171,0.004
0.936,0.061,0.003
0.097,0.897,0.007
0.599,0.39,0.011
0.973,0.025,0.002
0.953,0.045,0.002
0.975,0.023,0.002
0.923,0.073,0.004
0.908,0.089,0.003
0.911,0.086,0.003
0.556,0.438,0.006
0.844,0.154,0.002
0.494,0.501,0.006
0.93,0.068,0.002
0.924,0.073,0.003
0.851,0.146,0.002
0.854,0.144,0.003
0.711,0.286,0.003
0.9,0.098,0.003
0.718,0.278,0.004
0.923,0.074,0.003
0.949,0.048,0.002
0.84,0.156,0.004
0.754,0.243,0.003
0.855,0.142,0.004
0.908,0.087,0.004
0.956,0.042,0.002
0.963,0.035,0.003
0.933,0.065,0.002
0.935,0.062,0.003
0.852,0.143,0.005
0.934,0.063,0.002
0.769,0.227,0.004
0.808,0.189,0.003
0.967,0.031,0.002
0.844,0.153,0.003
0.922,0.075,0.003
0.923,0.075,0.002
0.954,0.043,0.002
0.9,0.097,0.003
0.889,0.108,0.003
0.923,0.075,0.003
0.975,0.023,0.002
0.969,0.029,0.002
0.945,0.053,0.002
0.976,0.022,0.002
0.64,0.352,0.008
0.939,0.058,0.002
0.952,0.046,0.002
0.972,0.026,0.003
0.977,0.02,0.003
0.892,0.105,0.003
0.969,0.028,0.002
0.467,0.528,0.005
0.98,0.018,0.002
0.971,0.027,0.002
0.956,0.042,0.002
0.869,0.126,0.005
0.89,0.107,0.003
0.9,0.098,0.002
0.838,0.155,0.007
0.905,0.092,0.002
0.806,0.189,0.004
0.665,0.332,0.003
0.896,0.1,0.005
0.906,0.092,0.002
0.863,0.134,0.004
0.458,0.536,0.006
0.651,0.345,0.003
0.884,0.113,0.002
0.956,0.042,0.003
0.745,0.25,0.005
0.724,0.266,0.01
0.913,0.084,0.003
0.977,0.022,0.002
0.963,0.035,0.002
0.933,0.064,0.003
0.797,0.199,0.003
0.293,0.699,0.007
0.702,0.293,0.005
0.962,0.036,0.003
0.935,0.063,0.002
0.703,0.292,0.005
0.955,0.042,0.003
0.207,0.786,0.007
0.926,0.072,0.002
0.968,0.03,0.002
0.712,0.283,0.004
0.927,0.07,0.004
0.7,0.295,0.005
0.939,0.059,0.002
0.565,0.43,0.006
0.876,0.121,0.003
0.943,0.054,0.003
0.961,0.036,0.003
0.783,0.213,0.003
0.837,0.16,0.003
0.476,0.519,0.005
0.946,0.051,0.003
0.963,0.035,0.002
0.951,0.046,0.003
0.933,0.065,0.002
0.939,0.058,0.003
0.856,0.141,0.004
0.912,0.084,0.004
0.89,0.107,0.003
0.983,0.015,0.002
0.958,0.041,0.002
0.96,0.038,0.002
0.964,0.032,0.004
0.856,0.137,0.007
0.885,0.113,0.003
0.969,0.029,0.002
0.929,0.067,0.004
0.924,0.072,0.005
0.542,0.448,0.01
0.963,0.035,0.002
0.298,0.696,0.006
0.938,0.059,0.002
0.955,0.043,0.002
0.884,0.113,0.003
0.962,0.036,0.002
0.945,0.052,0.003
0.296,0.7,0.004
0.914,0.082,0.004
0.95,0.047,0.003
0.961,0.037,0.003
0.971,0.027,0.003
0.949,0.048,0.003
0.978,0.02,0.002
0.962,0.036,0.003
0.828,0.166,0.006
0.8,0.195,0.005
0.811,0.185,0.004
0.687,0.307,0.006
0.926,0.07,0.003
0.875,0.122,0.003
0.397,0.596,0.007
0.562,0.43,0.008
0.931,0.066,0.003
0.968,0.03,0.002
0.829,0.168,0.003
0.942,0.055,0.002
0.887,0.11,0.003
0.222,0.752,0.026
0.948,0.049,0.002
0.95,0.047,0.003
0.823,0.174,0.003
0.952,0.046,0.002
0.943,0.055,0.002
0.955,0.042,0.003
0.787,0.209,0.004
0.857,0.14,0.003
0.962,0.036,0.002
0.867,0.13,0.002
0.776,0.218,0.006
0.552,0.443,0.005
0.155,0.745,0.099
0.478,0.516,0.005
0.836,0.159,0.004
0.849,0.147,0.004
0.737,0.259,0.003
0.547,0.448,0.005
0.664,0.331,0.006
0.904,0.094,0.003
0.966,0.031,0.003
0.907,0.088,0.005
0.851,0.145,0.004
0.89,0.107,0.003
0.963,0.034,0.003
0.69,0.306,0.004
0.951,0.046,0.003
0.879,0.117,0.004
0.884,0.113,0.003
0.926,0.07,0.004
0.546,0.447,0.006
0.944,0.044,0.012
0.977,0.021,0.003
0.888,0.109,0.003
0.786,0.212,0.003
0.952,0.046,0.002
0.86,0.136,0.004
0.762,0.233,0.005
0.963,0.034,0.003
0.839,0.158,0.003
0.957,0.041,0.002
0.689,0.307,0.004
0.955,0.044,0.002
0.785,0.212,0.003
0.9,0.097,0.003
0.212,0.782,0.006
0.837,0.154,0.009
0.963,0.036,0.002
0.892,0.105,0.003
0.915,0.082,0.003
0.947,0.05,0.003
0.603,0.391,0.006
0.345,0.65,0.005
0.898,0.1,0.002
0.982,0.016,0.002
0.971,0.026,0.003
0.939,0.059,0.002
0.977,0.022,0.002
0.902,0.096,0.002
0.984,0.014,0.002
0.931,0.065,0.004
0.754,0.243,0.004
0.955,0.042,0.004
0.952,0.046,0.002
0.973,0.025,0.002
0.723,0.274,0.003
0.969,0.029,0.002
0.893,0.104,0.003
0.961,0.036,0.002
0.602,0.393,0.005
0.622,0.372,0.006
0.866,0.131,0.003
0.669,0.325,0.006
0.849,0.148,0.003
0.181,0.78,0.039
0.895,0.102,0.003
0.956,0.04,0.004
0.939,0.058,0.003
0.969,0.029,0.002
0.897,0.1,0.003
0.918,0.079,0.003
0.969,0.028,0.002
0.958,0.039,0.003
0.972,0.026,0.002
0.946,0.052,0.002
0.516,0.478,0.006
0.907,0.09,0.003
0.97,0.028,0.002
0.729,0.266,0.006
0.973,0.025,0.002
0.581,0.415,0.004
0.895,0.102,0.003
0.954,0.043,0.002
0.93,0.066,0.004
0.908,0.089,0.003
0.906,0.09,0.003
0.976,0.022,0.002
0.942,0.055,0.003
0.906,0.091,0.003
0.757,0.24,0.003
0.92,0.078,0.002
0.93,0.066,0.004
0.916,0.081,0.002
0.983,0.015,0.002
0.893,0.105,0.003
0.102,0.879,0.019
0.926,0.072,0.002
0.916,0.082,0.002
0.13,0.863,0.007
0.959,0.039,0.003
0.957,0.04,0.003
0.842,0.155,0.004
0.957,0.041,0.002
0.915,0.083,0.002
0.952,0.046,0.003
0.957,0.04,0.002
0.925,0.071,0.004
0.396,0.599,0.004
0.681,0.313,0.006
0.727,0.269,0.004
0.275,0.719,0.005
0.95,0.047,0.002
0.68,0.315,0.004
0.869,0.128,0.002
0.957,0.041,0.002
0.92,0.078,0.003
0.96,0.037,0.003
0.933,0.064,0.003
0.98,0.018,0.002
0.953,0.044,0.003
0.91,0.088,0.003
0.151,0.758,0.091
0.961,0.037,0.002
0.979,0.019,0.002
0.937,0.061,0.003
0.953,0.045,0.002
0.858,0.138,0.004
0.955,0.043,0.002
0.888,0.109,0.002
0.974,0.023,0.002
0.957,0.04,0.002
0.714,0.282,0.004
0.609,0.387,0.004
0.924,0.073,0.003
0.943,0.054,0.003
0.898,0.097,0.005
0.972,0.026,0.002
0.89,0.108,0.002
0.943,0.053,0.003
0.96,0.037,0.002
0.421,0.562,0.017
0.953,0.045,0.002
0.973,0.024,0.002
0.975,0.023,0.002
0.974,0.024,0.002
0.872,0.124,0.003
0.781,0.211,0.008
0.759,0.238,0.002
0.253,0.729,0.018
0.684,0.311,0.005
0.987,0.011,0.002
0.781,0.217,0.003
0.955,0.042,0.002
0.778,0.215,0.006
0.928,0.068,0.004
0.872,0.123,0.005
0.049,0.941,0.01
0.958,0.038,0.003
0.973,0.025,0.002
0.972,0.026,0.002
0.214,0.778,0.008
0.944,0.052,0.004
0.683,0.306,0.011
0.887,0.111,0.003
0.578,0.375,0.047
0.923,0.074,0.003
0.988,0.01,0.002
0.974,0.024,0.002
0.949,0.048,0.003
0.92,0.078,0.003
0.953,0.044,0.003
0.946,0.052,0.002
0.974,0.024,0.002
0.676,0.32,0.004
0.887,0.108,0.005
0.965,0.033,0.002
0.899,0.098,0.003
0.867,0.13,0.003
0.654,0.341,0.005
0.904,0.093,0.004
0.712,0.285,0.003
0.815,0.177,0.007
0.941,0.057,0.002
0.96,0.038,0.002
0.898,0.099,0.003
0.972,0.026,0.002
0.904,0.094,0.003
0.142,0.751,0.107
0.939,0.059,0.002
0.92,0.076,0.004
0.952,0.044,0.004
0.979,0.019,0.002
0.936,0.061,0.003
0.875,0.122,0.003
0.717,0.28,0.003
0.884,0.113,0.002
0.976,0.022,0.002
0.943,0.055,0.002
0.966,0.032,0.002
0.824,0.173,0.003
0.966,0.031,0.003
0.941,0.056,0.003
0.829,0.167,0.004
0.433,0.563,0.004
0.939,0.058,0.003
0.725,0.27,0.005
0.934,0.064,0.003
0.832,0.166,0.003
0.538,0.454,0.008
0.86,0.134,0.007
0.393,0.602,0.004
0.923,0.074,0.003
0.942,0.054,0.003
0.968,0.029,0.003
0.36,0.631,0.009
0.611,0.383,0.006
0.907,0.089,0.004
0.924,0.073,0.002
0.742,0.252,0.007
0.077,0.911,0.012
0.909,0.088,0.003
0.952,0.044,0.003
0.082,0.898,0.021
0.968,0.031,0.001
0.932,0.065,0.003
0.897,0.101,0.003
0.967,0.031,0.002
0.969,0.029,0.002
0.774,0.221,0.005
0.94,0.058,0.003
0.933,0.065,0.002
0.975,0.023,0.002
0.638,0.357,0.005
0.896,0.101,0.003
0.811,0.186,0.003
0.783,0.212,0.006
0.969,0.029,0.002
0.944,0.053,0.003
0.964,0.033,0.003
0.732,0.266,0.003
0.742,0.254,0.004
0.955,0.043,0.002
0.96,0.037,0.003
0.189,0.791,0.021
0.939,0.059,0.002
0.956,0.042,0.003
0.935,0.062,0.003
0.967,0.032,0.002
0.931,0.066,0.003
0.935,0.062,0.003
0.128,0.852,0.02
0.959,0.038,0.003
0.881,0.113,0.007
0.903,0.094,0.003
0.736,0.26,0.004
0.955,0.043,0.002
0.438,0.556,0.006
0.9,0.097,0.003
0.926,0.072,0.002
0.976,0.021,0.003
0.084,0.908,0.008
0.933,0.065,0.002
0.976,0.021,0.002
0.825,0.171,0.004
0.863,0.133,0.004
0.856,0.14,0.004
0.944,0.053,0.003
0.969,0.028,0.003
0.801,0.195,0.004
0.798,0.2,0.003
0.922,0.076,0.002
0.15,0.844,0.005
0.794,0.201,0.005
0.935,0.062,0.003
0.876,0.121,0.003
0.783,0.213,0.004
0.946,0.052,0.003
0.903,0.095,0.002
0.957,0.04,0.003
0.869,0.127,0.005
0.934,0.063,0.003
0.977,0.021,0.002
0.912,0.085,0.002
0.879,0.117,0.004
0.943,0.054,0.003
0.57,0.426,0.003
0.951,0.046,0.003
0.971,0.027,0.003
0.537,0.455,0.008
0.945,0.052,0.003
0.79,0.195,0.015
0.97,0.028,0.002
0.967,0.03,0.003
0.894,0.103,0.003
0.35,0.637,0.014
0.205,0.787,0.008
0.983,0.014,0.003
0.936,0.061,0.002
0.876,0.121,0.003
0.922,0.073,0.005
0.922,0.075,0.003
0.874,0.122,0.004
0.972,0.025,0.003
0.957,0.041,0.002
0.901,0.096,0.003
0.597,0.398,0.005
0.975,0.023,0.002
0.935,0.062,0.002
0.766,0.23,0.003
0.956,0.042,0.002
0.928,0.069,0.002
0.952,0.045,0.003
0.929,0.068,0.002
0.082,0.878,0.04
0.23,0.765,0.004
0.97,0.028,0.002
0.965,0.033,0.002
0.971,0.027,0.002
0.8,0.196,0.004
0.973,0.025,0.002
0.905,0.092,0.003
0.817,0.18,0.003
0.955,0.041,0.004
0.965,0.033,0.002
0.965,0.033,0.002
0.704,0.289,0.007
0.807,0.189,0.004
0.949,0.049,0.003
0.985,0.013,0.002
0.963,0.035,0.002
0.974,0.023,0.003
0.541,0.452,0.006
0.746,0.244,0.01
0.863,0.135,0.002
0.944,0.055,0.002
0.933,0.065,0.002
0.956,0.041,0.002
0.689,0.308,0.004
0.853,0.143,0.005
0.497,0.498,0.005
0.584,0.411,0.005
0.733,0.264,0.003
0.345,0.65,0.005
0.793,0.202,0.005
0.974,0.024,0.002
0.723,0.273,0.004
0.93,0.068,0.003
0.842,0.15,0.008
0.859,0.137,0.005
0.97,0.025,0.005
0.954,0.043,0.002
0.846,0.151,0.003
0.673,0.322,0.005
0.973,0.024,0.003
0.97,0.029,0.002
0.967,0.031,0.002
0.892,0.105,0.003
0.937,0.061,0.002
0.98,0.018,0.002
0.956,0.041,0.002
0.848,0.149,0.003
0.901,0.096,0.003
0.921,0.076,0.003
0.459,0.535,0.006
0.709,0.282,0.009
0.885,0.111,0.004
0.944,0.054,0.002
0.91,0.087,0.003
0.937,0.06,0.003
0.956,0.04,0.003
0.767,0.23,0.003
0.977,0.02,0.002
0.938,0.06,0.002
0.837,0.159,0.004
0.541,0.451,0.008
0.885,0.112,0.003
0.952,0.046,0.002
0.45,0.546,0.004
0.079,0.884,0.037
0.948,0.049,0.002
0.957,0.041,0.002
0.757,0.24,0.004
0.552,0.444,0.004
0.679,0.316,0.004
0.937,0.06,0.003
0.932,0.066,0.002
0.948,0.049,0.003
0.786,0.208,0.005
0.33,0.665,0.006
0.968,0.03,0.002
0.784,0.213,0.003
0.931,0.065,0.003
0.933,0.064,0.003
0.727,0.268,0.005
0.394,0.6,0.005
0.883,0.114,0.003
0.425,0.568,0.007
0.949,0.047,0.004
0.531,0.464,0.005
0.86,0.136,0.004
0.962,0.035,0.003
0.928,0.068,0.004
0.96,0.038,0.002
0.923,0.073,0.003
0.242,0.743,0.015
0.945,0.052,0.003
0.974,0.024,0.002
0.595,0.402,0.004
0.887,0.109,0.004
0.918,0.08,0.002
0.96,0.038,0.002
0.968,0.029,0.003
0.967,0.029,0.003
0.756,0.24,0.004
0.857,0.139,0.003
0.969,0.028,0.003
0.625,0.369,0.006
0.88,0.116,0.004
0.857,0.141,0.003
0.929,0.069,0.003
0.947,0.05,0.003
0.969,0.029,0.002
0.854,0.142,0.004
0.957,0.04,0.003
0.781,0.213,0.005
0.95,0.046,0.004
0.404,0.582,0.014
0.977,0.022,0.001
0.639,0.356,0.006
0.576,0.418,0.006
0.94,0.058,0.002
0.279,0.707,0.014
0.944,0.048,0.008
0.96,0.037,0.002
0.953,0.044,0.003
0.779,0.215,0.006
0.633,0.361,0.006
0.779,0.217,0.004
0.913,0.084,0.003
0.82,0.177,0.003
0.836,0.158,0.005
0.697,0.299,0.004
0.917,0.078,0.004
0.972,0.025,0.002
0.966,0.032,0.002
0.198,0.799,0.004
0.799,0.196,0.006
0.91,0.087,0.004
0.922,0.076,0.003
0.402,0.584,0.014
0.94,0.057,0.003
0.65,0.346,0.004
0.457,0.537,0.006
0.422,0.573,0.005
0.934,0.063,0.002
0.335,0.661,0.004
0.965,0.033,0.002
0.872,0.125,0.003
0.826,0.17,0.004
0.043,0.717,0.24
0.822,0.172,0.006
0.932,0.066,0.003
0.946,0.05,0.004
0.952,0.046,0.003
0.94,0.058,0.003
0.959,0.039,0.002
0.917,0.081,0.003
0.965,0.032,0.002
0.866,0.129,0.006
0.958,0.04,0.002
0.983,0.015,0.002
0.951,0.046,0.003
0.896,0.1,0.004
0.881,0.115,0.003
0.397,0.598,0.005
0.732,0.263,0.004
0.87,0.128,0.003
0.903,0.09,0.007
0.939,0.059,0.002
0.951,0.047,0.002
0.844,0.154,0.002
0.862,0.135,0.003
0.979,0.018,0.002
0.948,0.049,0.003
0.721,0.276,0.003
0.757,0.24,0.003
0.906,0.091,0.003
0.679,0.315,0.006
0.752,0.245,0.003
0.694,0.301,0.005
0.982,0.016,0.002
0.824,0.171,0.004
0.872,0.123,0.005
0.731,0.265,0.005
0.868,0.124,0.007
0.963,0.035,0.002
0.917,0.081,0.002
0.952,0.045,0.002
0.938,0.059,0.003
0.969,0.029,0.002
0.968,0.029,0.003
0.729,0.262,0.009
0.913,0.082,0.005
0.575,0.418,0.006
0.945,0.052,0.003
0.823,0.174,0.003
0.352,0.643,0.006
0.677,0.317,0.006
0.929,0.068,0.003
0.619,0.375,0.006
0.663,0.334,0.003
0.902,0.095,0.003
0.856,0.14,0.003
0.131,0.857,0.012
0.975,0.023,0.002
0.97,0.028,0.002
0.982,0.016,0.003
0.918,0.08,0.003
0.977,0.02,0.003
0.661,0.335,0.004
0.455,0.538,0.007
0.381,0.611,0.008
0.363,0.631,0.007
0.452,0.544,0.004
0.945,0.052,0.002
0.951,0.047,0.002
0.941,0.057,0.002
0.9,0.097,0.003
0.845,0.151,0.003
0.909,0.088,0.003
0.913,0.084,0.003
0.898,0.1,0.002
0.952,0.045,0.003
0.936,0.062,0.002
0.956,0.042,0.002
0.946,0.052,0.002
0.914,0.083,0.003
0.591,0.406,0.004
0.889,0.108,0.004
0.956,0.042,0.002
0.941,0.056,0.002
0.919,0.077,0.003
0.894,0.102,0.004
0.976,0.02,0.003
0.852,0.145,0.003
0.924,0.073,0.003
0.908,0.089,0.003
0.966,0.032,0.002
0.903,0.093,0.004
0.724,0.272,0.004
0.746,0.249,0.005
0.918,0.08,0.002
0.888,0.109,0.004
0.918,0.079,0.002
0.191,0.802,0.007
0.469,0.527,0.004
0.938,0.059,0.003
0.924,0.074,0.002
0.852,0.144,0.004
0.723,0.273,0.004
0.975,0.022,0.003
0.907,0.09,0.004
0.632,0.364,0.004
0.758,0.238,0.004
0.957,0.04,0.003
0.881,0.116,0.003
0.98,0.018,0.002
0.967,0.031,0.002
0.606,0.391,0.003
0.968,0.029,0.002
0.326,0.668,0.006
0.928,0.069,0.003
0.978,0.019,0.003
0.712,0.283,0.005
0.913,0.084,0.003
0.967,0.031,0.002
0.934,0.064,0.002
0.11,0.884,0.006
0.968,0.029,0.003
0.969,0.029,0.002
0.975,0.023,0.002
0.669,0.328,0.004
0.956,0.042,0.002
0.835,0.162,0.003
0.913,0.082,0.005
0.14,0.747,0.113
0.719,0.276,0.005
0.913,0.082,0.005
0.758,0.237,0.005
0.439,0.554,0.007
0.944,0.053,0.003
0.574,0.423,0.004
0.903,0.095,0.002
0.96,0.037,0.002
0.846,0.149,0.004
0.82,0.176,0.004
0.785,0.212,0.003
0.58,0.413,0.007
0.948,0.049,0.003
0.902,0.095,0.002
0.732,0.263,0.005
0.948,0.049,0.002
0.974,0.024,0.002
0.97,0.027,0.002
0.941,0.056,0.002
0.967,0.031,0.002
0.836,0.158,0.006
0.942,0.056,0.002
0.966,0.03,0.003
0.866,0.131,0.003
0.958,0.039,0.003
0.845,0.15,0.005
0.801,0.196,0.004
0.398,0.595,0.007
0.946,0.051,0.003
0.588,0.408,0.004
0.033,0.957,0.01
0.865,0.132,0.003
0.964,0.033,0.002
0.903,0.094,0.003
0.952,0.045,0.003
0.754,0.228,0.018
0.829,0.168,0.002
0.919,0.079,0.002
0.844,0.138,0.018
0.832,0.165,0.003
0.943,0.055,0.002
0.957,0.04,0.003
0.869,0.127,0.003
0.95,0.046,0.004
0.962,0.036,0.002
0.725,0.271,0.004
0.931,0.058,0.011
0.951,0.047,0.003
0.857,0.141,0.002
0.142,0.784,0.074
0.942,0.055,0.003
0.678,0.316,0.005
0.953,0.045,0.002
0.933,0.065,0.003
0.94,0.056,0.004
0.961,0.037,0.002
0.948,0.049,0.003
0.958,0.039,0.002
0.942,0.056,0.002
0.96,0.037,0.003
0.101,0.783,0.116
0.739,0.256,0.005
0.845,0.145,0.01
0.965,0.032,0.003
0.96,0.038,0.002
0.91,0.088,0.002
0.814,0.183,0.003
0.956,0.041,0.003
0.977,0.021,0.002
0.837,0.16,0.003
0.969,0.029,0.003
0.795,0.196,0.009
0.97,0.028,0.002
0.771,0.226,0.003
0.829,0.168,0.003
0.784,0.214,0.003
0.893,0.102,0.004
0.979,0.019,0.002
0.84,0.157,0.003
0.932,0.065,0.003
0.85,0.146,0.003
0.911,0.086,0.002
0.556,0.438,0.005
0.792,0.205,0.003
0.776,0.22,0.005
0.973,0.024,0.003
0.952,0.045,0.003
0.848,0.149,0.003
0.041,0.933,0.026
0.75,0.244,0.006
0.078,0.899,0.024
0.935,0.063,0.002
0.814,0.183,0.003
0.888,0.109,0.003
0.94,0.058,0.003
0.961,0.036,0.003
0.828,0.164,0.008
0.911,0.086,0.003
0.649,0.347,0.004
0.313,0.68,0.007
0.589,0.405,0.006
0.97,0.027,0.003
0.761,0.235,0.004
0.965,0.033,0.002
0.707,0.289,0.004
0.911,0.085,0.003
0.977,0.021,0.002
0.86,0.137,0.003
0.81,0.187,0.003
0.139,0.777,0.085
0.967,0.031,0.002
0.571,0.424,0.005
0.976,0.022,0.002
0.98,0.018,0.002
0.751,0.246,0.004
0.872,0.125,0.003
0.951,0.046,0.003
0.293,0.698,0.009
0.96,0.038,0.002
0.703,0.293,0.004
0.873,0.123,0.003
0.915,0.08,0.004
0.924,0.074,0.002
0.918,0.079,0.003
0.414,0.58,0.006
0.895,0.102,0.003
0.87,0.123,0.007
0.953,0.045,0.002
0.879,0.118,0.003
0.978,0.02,0.002
0.954,0.044,0.002
0.947,0.05,0.002
0.943,0.055,0.002
0.895,0.102,0.003
0.942,0.055,0.003
0.829,0.169,0.002
0.969,0.028,0.003
0.95,0.047,0.003
0.623,0.372,0.005
0.949,0.049,0.003
0.824,0.173,0.003
0.917,0.08,0.003
0.936,0.062,0.003
0.957,0.039,0.004
0.42,0.571,0.009
0.974,0.024,0.002
0.131,0.76,0.109
0.684,0.313,0.003
0.928,0.069,0.003
0.973,0.025,0.002
0.957,0.04,0.003
0.147,0.754,0.099
0.847,0.15,0.003
0.931,0.066,0.003
0.897,0.099,0.003
0.972,0.026,0.002
0.587,0.408,0.005
0.886,0.11,0.003
0.926,0.071,0.003
0.903,0.094,0.003
0.387,0.602,0.011
0.876,0.122,0.003
0.871,0.124,0.005
0.906,0.091,0.003
0.979,0.019,0.002
0.972,0.026,0.002
0.83,0.167,0.003
0.934,0.062,0.005
0.956,0.041,0.003
0.452,0.544,0.004
0.909,0.087,0.004
0.767,0.228,0.006
0.899,0.098,0.002
0.951,0.046,0.003
0.899,0.099,0.003
0.391,0.578,0.031
0.973,0.024,0.002
0.78,0.215,0.005
0.96,0.038,0.002
0.207,0.789,0.005
0.916,0.082,0.002
0.809,0.189,0.002
0.803,0.194,0.003
0.921,0.077,0.002
0.955,0.041,0.003
0.158,0.728,0.114
0.524,0.471,0.005
0.204,0.79,0.006
0.681,0.297,0.022
0.66,0.336,0.003
0.963,0.034,0.003
0.878,0.119,0.003
0.95,0.048,0.003
0.935,0.063,0.002
0.937,0.059,0.004
0.922,0.076,0.003
0.978,0.02,0.002
0.819,0.177,0.004
0.871,0.125,0.004
0.96,0.038,0.002
0.89,0.108,0.003
0.933,0.065,0.002
0.938,0.059,0.003
0.926,0.071,0.002
0.976,0.022,0.002
0.965,0.033,0.003
0.875,0.122,0.004
0.836,0.159,0.005
0.761,0.236,0.004
0.905,0.092,0.003
0.584,0.411,0.004
0.445,0.551,0.004
0.686,0.308,0.006
0.963,0.034,0.003
0.914,0.084,0.002
0.603,0.39,0.006
0.96,0.038,0.002
0.712,0.284,0.004
0.894,0.101,0.004
0.967,0.03,0.003
0.884,0.112,0.004
0.968,0.031,0.002
0.937,0.061,0.002
0.284,0.709,0.007
0.931,0.066,0.003
0.795,0.201,0.003
0.91,0.087,0.002
0.9,0.098,0.002
0.208,0.785,0.006
0.125,0.763,0.111
0.938,0.059,0.003
0.253,0.742,0.005
0.961,0.036,0.003
0.959,0.038,0.003
0.954,0.044,0.002
0.977,0.02,0.003
0.961,0.037,0.002
0.402,0.594,0.004
0.979,0.019,0.002
0.361,0.634,0.005
0.9,0.097,0.003
0.867,0.13,0.003
0.978,0.019,0.003
0.275,0.718,0.007
0.706,0.285,0.009
0.127,0.765,0.108
0.196,0.799,0.005
0.241,0.75,0.009
0.967,0.031,0.002
0.969,0.028,0.002
0.912,0.086,0.003
0.95,0.045,0.005
0.976,0.022,0.002
0.668,0.326,0.006
0.135,0.82,0.045
0.967,0.03,0.003
0.954,0.041,0.005
0.807,0.189,0.003
0.777,0.219,0.004
0.946,0.052,0.003
0.903,0.094,0.003
0.963,0.034,0.004
0.942,0.055,0.003
0.355,0.638,0.007
0.18,0.809,0.012
0.325,0.665,0.01
0.953,0.045,0.002
0.891,0.106,0.003
0.917,0.08,0.003
0.584,0.413,0.004
0.085,0.909,0.006
