positive,neutral,negative
0.407,0.586,0.007
0.128,0.781,0.091
0.935,0.063,0.002
0.927,0.069,0.004
0.47,0.522,0.008
0.956,0.042,0.002
0.805,0.192,0.003
0.849,0.147,0.003
0.944,0.054,0.003
0.963,0.035,0.003
0.968,0.03,0.002
0.891,0.105,0.004
0.901,0.097,0.002
0.887,0.109,0.004
0.967,0.029,0.004
0.974,0.024,0.003
0.956,0.041,0.003
0.962,0.035,0.002
0.956,0.042,0.002
0.927,0.071,0.002
0.978,0.02,0.002
0.949,0.049,0.002
0.956,0.042,0.002
0.955,0.043,0.002
0.979,0.019,0.002
0.981,0.017,0.002
0.938,0.059,0.003
0.766,0.229,0.005
0.684,0.311,0.005
0.804,0.192,0.004
0.918,0.079,0.003
0.912,0.084,0.003
0.813,0.183,0.004
0.892,0.104,0.005
0.983,0.015,0.002
0.65,0.347,0.004
0.979,0.018,0.003
0.981,0.017,0.002
0.913,0.084,0.003
0.899,0.098,0.003
0.939,0.057,0.003
0.955,0.043,0.002
0.938,0.06,0.002
0.922,0.075,0.003
0.882,0.115,0.003
0.857,0.14,0.003
0.708,0.287,0.005
0.968,0.03,0.002
0.974,0.024,0.002
0.974,0.025,0.002
0.763,0.233,0.004
0.927,0.071,0.002
0.955,0.043,0.002
0.529,0.464,0.007
0.371,0.624,0.005
0.765,0.231,0.004
0.339,0.656,0.005
0.956,0.042,0.002
0.977,0.02,0.002
0.954,0.044,0.002
0.942,0.055,0.002
0.805,0.192,0.003
0.836,0.159,0.005
0.951,0.046,0.002
0.971,0.027,0.002
0.925,0.073,0.002
0.928,0.069,0.003
0.966,0.031,0.003
0.878,0.117,0.005
0.958,0.039,0.003
0.977,0.021,0.002
0.962,0.035,0.003
0.8,0.197,0.002
0.286,0.701,0.013
0.694,0.302,0.005
0.96,0.037,0.003
0.526,0.47,0.004
0.972,0.026,0.002
0.912,0.085,0.003
0.395,0.6,0.005
0.852,0.145,0.003
0.824,0.173,0.003
0.791,0.206,0.004
0.976,0.021,0.003
0.855,0.142,0.003
0.901,0.096,0.003
0.973,0.025,0.002
0.204,0.79,0.005
0.904,0.092,0.003
0.886,0.109,0.005
0.954,0.043,0.002
0.95,0.049,0.002
0.953,0.044,0.004
0.84,0.157,0.003
0.944,0.053,0.003
0.93,0.068,0.002
0.888,0.109,0.003
0.929,0.067,0.004
0.962,0.035,0.002
0.972,0.025,0.003
0.946,0.052,0.002
0.545,0.384,0.071
0.914,0.084,0.002
0.429,0.566,0.006
0.973,0.024,0.002
0.581,0.414,0.005
0.967,0.03,0.003
0.971,0.026,0.003
0.196,0.795,0.01
0.872,0.122,0.006
0.939,0.059,0.003
0.865,0.131,0.003
0.944,0.054,0.002
0.954,0.044,0.003
0.855,0.142,0.003
0.887,0.109,0.003
0.86,0.136,0.003
0.339,0.634,0.026
0.944,0.054,0.002
0.886,0.11,0.004
0.972,0.026,0.003
0.118,0.867,0.015
0.976,0.021,0.003
0.955,0.042,0.003
0.934,0.064,0.002
0.56,0.415,0.025
0.951,0.046,0.003
0.78,0.215,0.005
0.976,0.022,0.002
0.964,0.033,0.003
0.967,0.03,0.002
0.856,0.14,0.004
0.914,0.084,0.003
0.959,0.039,0.002
0.12,0.814,0.067
0.94,0.057,0.003
0.976,0.021,0.003
0.968,0.029,0.003
0.967,0.03,0.003
0.098,0.775,0.127
0.936,0.062,0.002
0.88,0.115,0.004
0.857,0.139,0.004
0.915,0.082,0.003
0.622,0.372,0.006
0.944,0.052,0.003
0.971,0.026,0.002
0.613,0.383,0.005
0.864,0.133,0.003
0.949,0.047,0.004
0.041,0.95,0.009
0.973,0.025,0.002
0.948,0.049,0.003
0.838,0.157,0.004
0.942,0.056,0.002
0.939,0.057,0.004
